order,question,category_y,category_x
1,Питается от груди или из бутылки,F,
1,Питается от груди или из бутылки,SEL,
2,Стаскивает шапочку со своей головы,F,
2,Стаскивает шапочку со своей головы,SEL,
3,Берет пищу с ложки,F,
3,Берет пищу с ложки,SEL,
4,Играет в прятки (в «ку-ку»: «прячет» лицо за ладонями),F,
4,Играет в прятки (в «ку-ку»: «прячет» лицо за ладонями),SOC,
5,"Плачет, когда отбирают игрушку",F,
5,"Плачет, когда отбирают игрушку",SOC,
6,С удовольствием открывает и закрывает крышку коробочки,F,
6,С удовольствием открывает и закрывает крышку коробочки,COG,
7,"Подражает покашливанию, мычанию, цоканью, другим звукам",F,
7,"Подражает покашливанию, мычанию, цоканью, другим звукам",LAN,
8,Берет маленькие предметы двумя пальцами,F,
8,Берет маленькие предметы двумя пальцами,MOT,
9,"Может самостоятельно сесть, даже если до этого лежал (а) на животе",F,
9,"Может самостоятельно сесть, даже если до этого лежал(а) на животе",MOT,
10,"Подпрыгивает, если поддерживать подмышки",F,
10,"Подпрыгивает, если поддерживать подмышки",MOT,
11,"Может самостоятельно сесть, если перед этим стоял (а)",F,
11,"Может самостоятельно сесть, если перед этим стоял(а)",MOT,
12,"Помогает одеванию, просовывая руки в рукава",F,
12,"Помогает одеванию, просовывая руки в рукава",SEL,
13,Смотрит на людей и успокаивается (затихает),F,
13,Смотрит на людей и успокаивается (затихает),SOC,
14,Тянется к знакомому человеку,F,
14,Тянется к знакомому человеку,SOC,
15, Может один (одна) играть с игрушками в течение 15 минут,F,
15,Может один(одна) играть с игрушками в течение 15 минут,SOC,
16,"Трясет погремушкой, если ее вложить в руку",F,
16,"Трясет погремушкой, если ее вложить в руку",COG,
17,Черкает карандашом по собственной инициативе,F,
17,Черкает карандашом по собственной инициативе,COG,
18,"Преодолевает препятствия, чтобы достать нужную вещь",F,
18,"Преодолевает препятствия, чтобы достать нужную вещь",COG,
19,Произносит звуки «ммм» или «ссс»,F,
19,Произносит звуки «ммм» или «ссс»,LAN,
20,Машет ручкой «пока-пока» в подходящий момент,F,
20,Машет ручкой «пока-пока» в подходящий момент,SOC,
20,Машет ручкой «пока-пока» в подходящий момент,SOC,
21,"Держит свою бутылочку, снова берет ее, если выпустит из рук",F,
21,"Держит свою бутылочку, снова берет ее, если выпустит из рук",SEL,
22,"Может начать ползти, если перед этим сидел (а)",F,
22,"Может начать ползти, если перед этим сидел(а)",MOT,
23,"Обхватывает бутылочку руками, когда сосет из нее",F,
23,"Обхватывает бутылочку руками, когда сосет из нее",SEL,
24,Пытается привлечь внимание взрослого лепетом и улыбками,F,
24,Пытается привлечь внимание взрослого лепетом и улыбками,SOC,
25,"Дает игрушку, если вы протянете за ней руку",F,
25,"Дает игрушку, если вы протянете за ней руку",SOC,
26,"Избегает предметов, которые могут причинить боль",F,
26,"Избегает предметов, которые могут причинить боль",COG,
27,Берет предметы и рассматривает их,F,
27,Берет предметы и рассматривает их,COG,
28,«Разговаривает» на своем языке («гулит»),F,
28,«Разговаривает» на своем языке («гулит»),LAN,
29,Четко произносит одно слово,F,
29,Четко произносит одно слово,LAN,
30,"Хлопает в ладоши, когда попросят",F,
30,"Хлопает в ладоши, когда попросят",SOC,
30,"Хлопает в ладоши, когда попросят",SOC,
31,"Сжимает руку, когда на ладошку положат игрушку",F,
31,"Сжимает руку, когда на ладошку положат игрушку",MOT,
32,"Пытается заполучить игрушку, находящуюся вне пределов досягаемости",F,
32,"Пытается заполучить игрушку, находящуюся вне пределов досягаемости",MOT,
33,"Проглатывает жидкость, не поперхнувшись",F,
33,"Проглатывает жидкость, не поперхнувшись",SEL,
34,"Предпочитает, есть самостоятельно",F,
34,Предпочитает есть самостоятельно,SEL,
35,"Пытается привлечь внимание взрослого тем, что тянется к нему и протягивает руки",F,
35,"Пытается привлечь внимание взрослого тем, что тянется к нему и протягивает руки",SOC,
36,"Протягивает взрослому игрушку, но не отдает ее",F,
36,"Протягивает взрослому игрушку, но не отдает ее",SOC,
37,"Ищет игрушку, которую спрятали на его (ее) глазах",F,
37,"Ищет игрушку, которую спрятали на его(ее) глазах",COG,
38,"Интересуется фотографиями (рассматривает, когда показывают)",F,
38,"Интересуется фотографиями (рассматривает, когда показывают)",COG,
