question_order,question
1,"Если вы указываете пальцем на что-то в другом конце комнаты, смотрит ли ваш ребенок в ту сторону (например, на игрушку или животное)?"
2,"Вы когда-нибудь предполагали, что ваш ребенок может быть глухим?"
3,"Играет ли ваш ребенок в воображаемые или сюжетно-ролевые игры (например, делает вид, что пьет из пустой чашки или разговаривает по телефону)?"
4,"Нравится ли ребенку забираться на различные предметы (например, на мебель или оборудование на детской площадке)?"
5,"Делает ли ваш ребенок необычные движения пальцами перед глазами (например, перебирает пальцами перед лицом)?"
6,"Указывает ли ребенок пальцем, чтобы что-то попросить или получить помощь (например, на игрушку или еду, до которой не может дотянуться)?"
7,"Указывает ли ребенок пальцем, чтобы обратить внимание на что-то интересное (например, на самолет в небе или машину на дороге)?"
8,"Интересуется ли ребенок другими детьми (например, наблюдает за ними, улыбается или пытается подойти)?"
9,"Приносит ли ребенок предметы, чтобы показать их вам (например, игрушку или цветок)?"
10,"Отзывается ли ребенок на свое имя (например, оборачивается, прекращает занятие или реагирует, когда его зовут)?"
11,Улыбается ли ребенок в ответ на вашу улыбку?
12,"Расстраивают ли ребенка обычные звуки (например, шум пылесоса или громкая музыка)?"
13,Ходит ли ребенок?
14,"Смотрит ли ребенок вам в глаза, когда вы с ним общаетесь, играете или одеваете его?"
15,"Пытается ли ребенок копировать ваши действия (например, машет рукой, хлопает в ладоши или повторяет звуки)?"
16,"Оборачивается ли ребенок, если вы смотрите на что-то (например, следует за направлением вашего взгляда)?"
17,"Старается ли ребенок привлечь ваше внимание к себе (например, смотрит на вас в ожидании реакции или говорит «посмотри»)?"
18,"Понимает ли ребенок, что вы ему говорите (например, выполняет простые просьбы без жестов)?"
19,"Смотрит ли ребенок на ваше лицо, когда происходит что-то необычное (например, при новом звуке или игрушке)?"
20,"Нравятся ли ребенку подвижные занятия (например, подпрыгивания, качание, активные игры)?"
21,"Понимает ли ребенок то, что говорят другие люди?"
22,"Бывает ли так, что ребенок увлечен чем-то чего, не существует или 
бесцельно бродит по комнате?  "
23,"Смотрит ли ребенок на ваше лицо, чтобы проверить вашу реакцию, 
когда сталкивается с чем-то незнакомым? "
